Suburb,Mean
Thornbury,443055.3957
Toorak,429102.5
Travancore,420800
Truganina,420000
Tullamarine,420000
Upwey,420000
Vermont,420000
Vermont South,419384.6154
Viewbank,413218.2927
Wallan,410000
Wantirna,410000
Wantirna South,408931.8182
Warrandyte,405000
Waterways,405000
Watsonia,401201.9231
Watsonia North,400000
Werribee,393114
West Footscray,380558.0952
West Melbourne,370000
Westmeadows,366357.1429
Wheelers Hill,362500
Whittlesea,360000
Williams Landing,360000
Williamstown,349584.1121
Williamstown North,332157.8947
Windsor,325208.3333
Wollert,316611.1111
Wonga Park,315000
Wyndham Vale,315000
Yallambie,311187.5
Yarra Glen,307000
Yarraville,266109.1463
0,
