Sale Year,Apartment
2000,302500
2001,330545
2002,369500
2003,310000
2004,336000
2005,335000
2006,370000
2007,400000
2008,422000
2009,450000
2010,508000
2011,510000
2012,493960
2013,520000
2014,525000
2015,510000
2016,508000
